date,cash,market_value,total_value,positions
2022-08-04,9820.297451019287,205.49788856506348,10025.79533958435,"UCOBANK.NS,YESBANK.NS"
2022-08-05,9820.297451019287,202.8905324935913,10023.187983512878,"UCOBANK.NS,YESBANK.NS"
2022-08-08,9820.297451019287,197.686861038208,10017.984312057495,"UCOBANK.NS,YESBANK.NS"
2022-08-10,9820.297451019287,192.783185005188,10013.080636024475,"UCOBANK.NS,YESBANK.NS"
2022-08-11,9820.297451019287,192.783185005188,10013.080636024475,"UCOBANK.NS,YESBANK.NS"
2022-08-12,9820.297451019287,191.74861907958984,10012.046070098877,"UCOBANK.NS,YESBANK.NS"
2022-08-16,9820.297451019287,196.21774578094482,10016.515196800232,"UCOBANK.NS,YESBANK.NS"
2022-08-17,9820.297451019287,201.42140865325928,10021.718859672546,"UCOBANK.NS,YESBANK.NS"
2022-08-18,9820.297451019287,201.1522979736328,10021.44974899292,"UCOBANK.NS,YESBANK.NS"
2022-08-19,9820.297451019287,199.24861335754395,10019.546064376831,"UCOBANK.NS,YESBANK.NS"
2022-08-22,9820.297451019287,197.17949867248535,10017.476949691772,"UCOBANK.NS,YESBANK.NS"
2022-08-23,9820.297451019287,196.87949180603027,10017.176942825317,"UCOBANK.NS,YESBANK.NS"
2022-08-24,9820.297451019287,198.67949867248535,10018.976949691772,"UCOBANK.NS,YESBANK.NS"
2022-08-25,9820.297451019287,202.4250955581665,10022.722546577454,"UCOBANK.NS,YESBANK.NS"
2022-08-26,9820.297451019287,204.73244762420654,10025.029898643494,"UCOBANK.NS,YESBANK.NS"
2022-08-29,9820.297451019287,201.49421310424805,10021.791664123535,"UCOBANK.NS,YESBANK.NS"
2022-08-30,9820.297451019287,202.99421310424805,10023.291664123535,"UCOBANK.NS,YESBANK.NS"
2022-09-01,9820.297451019287,202.3942108154297,10022.691661834717,"UCOBANK.NS,YESBANK.NS"
2022-09-02,9820.297451019287,201.05966091156006,10021.357111930847,"UCOBANK.NS,YESBANK.NS"
2022-09-05,9820.297451019287,206.36701011657715,10026.664461135864,"UCOBANK.NS,YESBANK.NS"
2022-09-06,9820.297451019287,206.53244304656982,10026.829894065857,"UCOBANK.NS,YESBANK.NS"
2022-09-07,9820.297451019287,210.2670078277588,10030.564458847046,"UCOBANK.NS,YESBANK.NS"
2022-09-08,9838.047451019287,196.08612537384033,10034.133576393127,"UCOBANK.NS,YESBANK.NS"
2022-09-09,9838.047451019287,195.27068614959717,10033.318137168884,"UCOBANK.NS,YESBANK.NS"
2022-09-12,9838.047451019287,195.9552345275879,10034.002685546875,"UCOBANK.NS,YESBANK.NS"
2022-09-13,9838.047451019287,195.02068996429443,10033.068140983582,"UCOBANK.NS,YESBANK.NS"
2022-09-14,9838.047451019287,194.02068614959717,10032.068137168884,"UCOBANK.NS,YESBANK.NS"
2022-09-15,9838.047451019287,194.3898057937622,10032.43725681305,"UCOBANK.NS,YESBANK.NS"
2022-09-16,9838.047451019287,188.913330078125,10026.960781097412,"UCOBANK.NS,YESBANK.NS"
2022-09-19,9838.047451019287,188.21701431274414,10026.264465332031,"UCOBANK.NS,YESBANK.NS"
2022-09-20,9838.047451019287,189.77068424224854,10027.818135261536,"UCOBANK.NS,YESBANK.NS"
2022-09-21,9838.047451019287,192.27068424224854,10030.318135261536,"UCOBANK.NS,YESBANK.NS"
2022-09-22,9838.047451019287,190.2170124053955,10028.264463424683,"UCOBANK.NS,YESBANK.NS"
2022-09-23,9821.847450256348,201.92878246307373,10023.776232719421,"UCOBANK.NS,YESBANK.NS"
2022-09-26,9821.847450256348,193.81774806976318,10015.66519832611,"UCOBANK.NS,YESBANK.NS"
2022-09-27,9821.847450256348,195.31774806976318,10017.16519832611,"UCOBANK.NS,YESBANK.NS"
2022-09-28,9821.847450256348,193.952299118042,10015.79974937439,"UCOBANK.NS,YESBANK.NS"
2022-09-29,9821.847450256348,195.121413230896,10016.968863487244,"UCOBANK.NS,YESBANK.NS"
2022-09-30,9821.847450256348,197.32509326934814,10019.172543525696,"UCOBANK.NS,YESBANK.NS"
2022-10-03,9821.847450256348,194.95598030090332,10016.803430557251,"UCOBANK.NS,YESBANK.NS"
2022-10-04,9821.847450256348,200.1905393600464,10022.037989616394,"UCOBANK.NS,YESBANK.NS"
2022-10-06,9821.847450256348,202.85965633392334,10024.707106590271,"UCOBANK.NS,YESBANK.NS"
2022-10-07,9821.847450256348,202.72509098052979,10024.572541236877,"UCOBANK.NS,YESBANK.NS"
2022-10-10,9821.847450256348,201.2559871673584,10023.103437423706,"UCOBANK.NS,YESBANK.NS"
2022-10-11,9821.847450256348,198.1522979736328,10019.99974822998,"UCOBANK.NS,YESBANK.NS"
2022-10-12,9821.847450256348,197.686861038208,10019.534311294556,"UCOBANK.NS,YESBANK.NS"
2022-10-13,9821.847450256348,195.61774921417236,10017.46519947052,"UCOBANK.NS,YESBANK.NS"
